Fecha,Municipio,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Cantidad
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO PALMERAS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,22,FEMENINO,UNION LIBRE,-,EMPLEADO PARTICULAR,1
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO BELEN,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,79,FEMENINO,VIUDO,-,EMPLEADO PARTICULAR,1
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CIUDAD JARDIN,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CENTRO,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,42,FEMENINO,UNION LIBRE,COLOMBIA,COMERCIANTE,1
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO LOS MOTILONES,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,44,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,1
01/01/2016 12:00:00 AM,CÚCUTA (CT),BARRIO CHAPINERO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,49,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,1
01/01/2016 12:00:00 AM,EL ZULIA,VEREDA EL MESTIZO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
01/01/2016 12:00:00 AM,OCAÑA,BARRIO CIRCUNVALAR (OCAÑA),URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
01/01/2016 12:00:00 AM,OCAÑA,BARRIO FUNDADORES,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,16,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,1
01/01/2016 12:00:00 AM,OCAÑA,INVASION TIERRA SANTA,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,58,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,1
01/02/2016 12:00:00 AM,CÚCUTA (CT),BARRIO EL SALADO,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,33,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
01/02/2016 12:00:00 AM,CÚCUTA (CT),BARRIO LOS OLIVOS,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,59,FEMENINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,1
01/02/2016 12:00:00 AM,LOS PATIOS,BARRIO PISARREAL,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,39,FEMENINO,CASADO,-,EMPLEADO PARTICULAR,1
01/02/2016 12:00:00 AM,VILLA CARO,VEREDA SAN JUAN,RURAL,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,37,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
01/03/2016 12:00:00 AM,CÚCUTA (CT),BARRIO TORCOROMA II,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,38,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,1
01/03/2016 12:00:00 AM,CÚCUTA (CT),BARRIO LA MERCED,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,37,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,1
01/03/2016 12:00:00 AM,CÚCUTA (CT),BARRIO LOS MOTILONES,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,50,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,1
01/03/2016 12:00:00 AM,OCAÑA,BARRIO LAS DELICIAS,URBANA,DENTRO DE LA VIVIENDA,CONTUNDENTES,A PIE,A PIE,34,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,1
01/03/2016 12:00:00 AM,VILLA DEL ROSARIO,BARRIO PRIMERO DE MAYO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,16,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,1
