Asunto,Género,Edad,Rango-Edad,Escolaridad,Ocupación,Pertenencia étnica,Discapacidad,Orientación sexual,Identidad de género,Desplazado,Estado civil,Factor vulnerabilidad,Fecha del hecho,Mes,Día,Hora (MM:MM),Rango-hora,DEPARTAMENTO,Municipio,Barrio/vereda,Comuna/corregimiento,Zona del hecho,Circunstancia,Contexto hecho,Mecanismo múltiple,Objeto vulnerante,Presunto agresor
Sin dato,Masculino,33,31-35,Primaria sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,01/01/2018,enero,lunes,1:30:00,00:00 - 5:59,HUILA,NEIVA,VILLA MAGDALENA,Comuna 9,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Sin dato,Masculino,35,31-35,Bachillerato,Otros trabajadores empleados sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),Sin información,01/01/2018,enero,lunes,3:00:00,00:00 - 5:59,HUILA,NEIVA,VILLA CAROLINA,Comuna 2,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Lesiones,Masculino,41,41-45,Profesional/Posgrado,"Arquitectos, ingenieros y afines",Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,01/01/2018,enero,lunes,4:00:00,00:00 - 5:59,HUILA,NEIVA,ASENTAMIENTO LAS MARGARITAS,Comuna 10,Cabecera municipal,Atraco callejero o intento de,Violencia interpersonal,Abrasivo,"Otro
Arma blanca",Vecino
Sin dato,Masculino,19,18-19,Bachillerato sin terminar,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,01/01/2018,enero,lunes,11:00:00,6:00 -11:59,HUILA,NEIVA,VENTILADOR,Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,34,31-35,Bachillerato sin terminar,Recolectores de material reciclable,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,01/01/2018,enero,lunes,15:00:00,12:00- 17:59,HUILA,NEIVA,SANTA ISABEL,Comuna 6,Cabecera municipal,Retención Legal,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,01/01/2018,enero,lunes,15:30:00,12:00- 17:59,HUILA,NEIVA,BOGOTA,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Policía
Sin dato,Masculino,39,36-40,Bachillerato,Agentes y policías de tránsito,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,01/01/2018,enero,lunes,21:30:00,18:00 -23:59,HUILA,NEIVA,VILLA DEL RIO,Comuna 1,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Otro,No Identificado
Sin dato,Masculino,33,31-35,Primaria sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,02/01/2018,enero,martes,16:00:00,12:00- 17:59,HUILA,NEIVA,TIMANCO I -IV ETAPA,Comuna 6,Cabecera municipal,Atraco callejero o intento de,Violencia interpersonal,Contundente,Otro,No Identificado
Sin dato,Femenino,24,20-24,Bachillerato sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Sin información,02/01/2018,enero,martes,18:00:00,18:00 -23:59,HUILA,NEIVA,MARTIRES,comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Otro
Sin dato,Femenino,19,18-19,Primaria sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Sin información,02/01/2018,enero,martes,19:00:00,18:00 -23:59,HUILA,NEIVA,LOS MARTIRES,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
